iter	Passed	Remaining
189	294	1253
190	294	1248
191	295	1243
192	296	1238
193	296	1232
194	297	1227
195	298	1222
196	298	1218
197	299	1213
198	300	1209
199	301	1204
200	301	1199
201	302	1194
202	302	1189
203	303	1184
204	304	1179
205	304	1174
206	305	1169
207	305	1164
208	306	1160
209	307	1155
210	307	1151
211	308	1146
212	309	1142
213	309	1137
214	310	1132
215	310	1128
216	311	1123
217	312	1119
218	312	1115
219	313	1111
220	314	1107
221	314	1103
222	315	1099
223	316	1095
224	316	1091
225	317	1087
226	318	1083
227	318	1079
228	319	1074
229	319	1070
230	320	1067
231	321	1063
232	322	1060
233	322	1056
234	323	1052
235	323	1048
236	324	1044
237	324	1040
238	325	1036
239	326	1032
240	326	1028
241	327	1025
242	328	1021
243	328	1018
244	329	1015
245	330	1011
246	330	1008
247	331	1005
248	332	1004
249	333	1001
250	334	998
251	335	995
252	336	992
253	336	988
254	337	985
255	337	981
256	338	978
257	339	975
258	339	971
259	340	968
260	340	965
261	341	961
262	341	958
263	342	955
264	343	952
265	344	949
266	344	946
267	345	943
268	346	940
269	346	938
270	347	935
271	348	932
272	348	929
273	349	926
274	350	922
275	350	919
276	351	916
277	351	913
278	352	910
279	352	907
280	353	904
281	354	901
282	354	898
283	355	895
284	355	892
285	356	890
286	357	887
287	358	885
288	358	882
289	359	880
290	360	877
291	360	875
292	361	872
293	362	869
294	362	866
295	363	863
296	363	861
297	364	858
298	365	855
299	365	853
300	366	851
301	367	849
302	368	846
303	368	844
304	369	842
305	370	840
306	371	838
307	372	836
308	372	833
309	373	831
310	374	829
311	375	827
312	375	825
313	376	822
314	377	820
315	378	818
316	378	816
317	379	814
318	380	811
319	380	809
320	381	807
321	382	805
322	383	803
323	384	801
324	384	799
325	385	797
326	386	795
327	386	792
328	387	790
329	388	788
330	389	786
331	390	785
332	391	783
333	391	781
334	392	778
335	393	776
336	393	774
337	394	772
338	394	769
339	395	767
340	395	765
341	396	762
342	397	760
343	397	758
344	398	755
345	398	753
346	399	751
347	399	749
348	400	747
349	401	745
350	402	744
351	403	741
352	403	740
353	404	738
354	405	735
355	405	734
356	406	732
357	407	729
358	407	727
359	408	725
360	408	723
361	409	721
362	410	719
363	410	717
364	411	715
365	411	713
366	412	711
367	412	709
368	413	707
369	414	705
370	414	703
371	415	701
372	415	699
373	416	697
374	417	695
375	417	693
376	418	691
377	418	689
378	419	687
379	420	685
380	420	683
381	421	681
382	422	679
383	422	678
384	423	676
385	424	674
386	424	672
387	425	670
388	425	668
389	426	666
390	427	665
391	427	663
392	428	662
393	429	660
394	429	658
395	430	656
396	431	654
397	431	653
398	432	651
399	433	649
400	433	648
401	434	646
402	435	644
403	435	643
404	436	641
405	437	639
406	437	638
407	438	636
408	439	634
409	440	633
410	440	631
411	441	630
412	442	628
413	443	627
414	443	625
415	444	624
416	445	622
417	445	620
418	446	619
419	447	617
420	447	615
421	448	614
422	449	612
423	449	611
424	450	609
425	451	608
426	452	606
427	452	604
428	453	603
429	453	601
430	454	600
431	455	598
432	455	596
433	456	594
434	456	593
435	457	591
436	457	589
437	458	588
438	459	586
439	459	585
440	460	583
441	461	582
442	461	580
443	462	579
444	463	578
445	465	577
446	465	576
447	466	574
448	467	573
449	467	571
450	468	569
451	468	568
452	469	566
453	470	565
454	470	563
455	471	562
456	471	560
457	472	559
458	473	558
459	474	557
460	475	555
461	476	554
462	476	553
463	477	551
464	478	550
465	479	549
466	480	548
467	481	547
468	482	545
469	482	544
470	483	543
471	484	542
472	485	540
473	486	539
474	486	537
475	487	536
476	487	534
477	488	533
478	488	531
479	489	530
480	490	528
481	490	527
482	491	525
483	491	524
484	492	522
485	493	521
486	493	519
487	494	518
488	495	517
489	496	516
490	497	515
491	497	513
492	498	512
493	498	511
494	499	509
495	500	508
496	500	506
497	501	505
498	501	503
499	502	502
500	502	500
501	503	499
502	504	498
503	504	496
504	505	495
505	505	493
506	506	492
507	507	491
508	507	489
509	508	488
510	508	486
511	509	485
512	510	484
513	511	483
514	511	481
515	512	480
516	512	479
517	513	477
518	514	476
519	514	475
520	515	473
521	515	472
522	516	470
523	516	469
524	517	468
525	518	466
526	518	465
527	519	464
528	519	462
529	520	461
530	521	460
531	521	458
532	522	457
533	522	456
534	523	454
535	524	453
536	524	452
537	525	451
538	526	450
539	527	449
540	527	447
541	528	446
542	528	445
543	529	443
544	530	442
545	530	441
546	531	439
547	531	438
548	532	437
549	532	436
550	533	434
551	534	433
552	534	432
553	535	430
554	535	429
555	536	428
556	537	427
557	537	425
558	538	424
559	539	423
560	540	422
561	540	421
562	541	420
563	542	419
564	542	417
565	543	416
566	543	415
567	544	414
568	545	413
569	545	411
570	546	410
571	547	409
572	547	408
573	548	406
574	548	405
575	549	404
576	550	403
577	550	402
578	551	400
579	551	399
580	552	398
581	553	397
582	553	396
583	554	394
584	555	393
585	555	392
586	556	391
587	556	390
588	557	389
589	558	388
590	558	386
591	559	385
592	560	384
593	560	383
594	561	382
595	561	380
596	562	379
597	562	378
598	563	377
599	564	376
600	564	374
601	565	373
602	565	372
603	566	371
604	567	370
605	567	369
606	568	368
607	569	366
608	569	365
609	570	364
610	570	363
611	571	362
612	572	361
613	573	360
614	573	359
615	574	358
616	575	357
617	576	356
618	576	354
619	577	353
620	577	352
621	578	351
622	579	350
623	579	349
624	580	348
625	580	346
626	581	345
627	582	344
628	582	343
629	583	342
630	584	341
631	584	340
632	585	339
633	586	338
634	586	337
635	587	336
636	588	335
637	588	333
638	589	332
639	589	331
640	590	330
641	590	329
642	591	328
643	592	327
644	592	326
645	593	325
646	593	324
647	594	322
648	595	321
649	595	320
650	596	319
651	596	318
652	597	317
653	598	316
654	598	315
655	599	314
656	599	313
657	600	312
658	601	311
659	601	310
660	602	308
661	603	307
662	603	306
663	604	305
664	604	304
665	605	303
666	606	302
667	606	301
668	607	300
669	608	299
670	608	298
671	609	297
672	609	296
673	610	295
674	611	294
675	612	293
676	612	292
677	613	291
678	613	290
679	614	289
680	615	288
681	615	287
682	616	286
683	617	285
684	617	284
685	618	283
686	619	282
687	619	280
688	620	279
689	620	278
690	621	277
691	621	276
692	622	275
693	622	274
694	623	273
695	624	272
696	624	271
697	625	270
698	626	269
699	626	268
700	627	267
701	627	266
702	628	265
703	629	264
704	629	263
705	630	262
706	631	261
707	631	260
708	632	259
709	633	258
710	633	257
711	634	256
712	634	255
713	635	254
714	636	253
715	636	252
716	637	251
717	637	250
718	638	249
719	638	248
720	639	247
721	640	246
722	640	245
723	641	244
724	642	243
725	642	242
726	643	241
727	644	240
728	644	239
729	645	238
730	646	237
731	646	236
732	647	235
733	648	234
734	648	233
735	649	232
736	650	231
737	650	230
738	651	229
739	651	229
740	652	228
741	652	227
742	653	226
743	654	225
744	654	224
745	655	223
746	655	222
747	656	221
748	657	220
749	657	219
750	658	218
751	658	217
752	659	216
753	659	215
754	660	214
755	661	213
756	662	212
757	662	211
758	663	210
759	664	209
760	664	208
761	665	207
762	666	206
763	666	206
764	667	205
765	668	204
766	668	203
767	669	202
768	669	201
769	670	200
770	671	199
771	671	198
772	672	197
773	672	196
774	673	195
775	673	194
776	674	193
777	675	192
778	676	191
779	676	190
780	677	189
781	678	189
782	678	188
783	679	187
784	680	186
785	680	185
786	681	184
787	681	183
788	682	182
789	682	181
790	683	180
791	684	179
792	684	178
793	685	177
794	685	176
795	686	175
796	686	174
797	687	174
798	688	173
799	688	172
800	689	171
801	690	170
802	690	169
803	691	168
804	692	167
805	692	166
806	693	165
807	694	164
808	694	164
809	695	163
810	695	162
811	696	161
812	697	160
813	697	159
814	698	158
815	698	157
816	699	156
817	699	155
818	700	154
819	701	153
820	701	153
821	702	152
822	702	151
823	703	150
824	704	149
825	704	148
826	705	147
827	706	146
828	706	145
829	707	144
830	708	144
831	709	143
832	709	142
833	710	141
834	711	140
835	711	139
836	712	138
837	713	137
838	713	137
839	714	136
840	715	135
841	715	134
842	716	133
843	716	132
844	717	131
845	718	130
846	718	129
847	719	128
848	719	128
849	720	127
850	721	126
851	721	125
852	722	124
853	723	123
854	723	122
855	724	121
856	724	120
857	725	120
858	726	119
859	726	118
860	727	117
861	727	116
862	728	115
863	728	114
864	729	113
865	730	112
866	730	112
867	731	111
868	732	110
869	732	109
870	733	108
871	733	107
872	734	106
873	735	105
874	735	105
875	736	104
876	736	103
877	737	102
878	738	101
879	739	100
880	739	99
881	740	99
882	740	98
883	741	97
884	742	96
885	742	95
886	743	94
887	743	93
888	744	92
889	745	92
890	745	91
891	746	90
892	746	89
893	747	88
894	748	87
895	748	86
896	749	86
897	749	85
898	750	84
899	751	83
900	751	82
901	752	81
902	753	80
903	754	80
904	754	79
905	755	78
906	755	77
907	756	76
908	757	75
909	757	74
910	758	74
911	758	73
912	759	72
913	760	71
914	760	70
915	761	69
916	761	68
917	762	68
918	763	67
919	763	66
920	764	65
921	764	64
922	765	63
923	766	63
924	766	62
925	767	61
926	768	60
927	768	59
928	769	58
929	770	57
930	771	57
931	771	56
932	772	55
933	773	54
934	773	53
935	774	52
936	774	52
937	775	51
938	776	50
939	776	49
940	777	48
941	777	47
942	778	47
943	779	46
944	779	45
945	780	44
946	780	43
947	781	42
948	781	42
949	782	41
950	783	40
951	784	39
952	784	38
953	785	37
954	786	37
955	786	36
956	787	35
957	787	34
958	788	33
959	789	32
960	789	32
961	790	31
962	790	30
963	791	29
964	791	28
965	792	27
966	793	27
967	793	26
968	794	25
969	794	24
970	795	23
971	796	22
972	796	22
973	797	21
974	798	20
975	798	19
976	799	18
977	800	18
978	800	17
979	801	16
980	802	15
981	802	14
982	803	13
983	803	13
984	804	12
985	804	11
986	805	10
987	806	9
988	806	8
989	807	8
990	807	7
991	808	6
992	809	5
993	809	4
994	810	4
995	811	3
996	811	2
997	812	1
998	812	0
999	813	0
